actor_id:int,movie_id:int
3956,1
4560,2
404,3
2211,3
2958,3
433,4
682,4
5005,4
263,5
2580,5
5577,5
5047,6
700,7
2577,7
2596,7
2409,8
3520,8
5158,8
3484,9
4155,9
4158,9
3503,10
4787,10
4904,10
983,11
4191,11
4668,11
942,12
2858,12
5466,12
919,13
2857,13
6110,13
2399,14
2957,14
4544,14
1102,15
5129,15
5541,15
1056,16
3046,16
5868,16
1624,17
5078,17
1356,18
4781,18
5229,18
2487,19
2820,19
3406,19
693,20
1599,20
4043,20
1034,21
5025,21
5309,21
112,22
1306,22
5170,22
105,23
2272,23
3501,23
1965,24
3360,24
3905,24
2098,25
3957,25
5129,25
2399,26
2957,26
4544,26
2957,27
5180,27
5890,27
1092,28
2234,28
2272,28
1261,29
4703,29
4768,29
1034,30
5025,30
5309,30
2957,31
5230,31
5553,31
2957,32
3338,32
5851,32
4199,33
4445,33
6160,33
24,34
79,34
2505,34
307,35
1106,35
1794,35
3873,36
5319,36
6134,36
24,37
79,37
2505,37
1090,38
1869,38
3430,38
1875,39
4344,39
5765,39
2139,40
3212,40
3551,40
1030,41
5025,41
5309,41
141,42
3585,42
5656,42
814,43
3100,43
4536,43
123,44
2269,44
5129,44
2487,45
2820,45
3406,45
1592,46
3004,46
5025,46
112,47
373,47
2957,47
1291,48
2318,48
3294,48
5341,49
5570,49
5963,49
2131,50
3339,50
4837,50
632,51
3294,51
5509,51
2487,52
4258,52
5797,52
307,53
637,53
1794,53
2486,54
2654,54
4525,54
1669,55
2866,55
5765,55
5192,56
5657,56
5721,56
1607,57
2970,57
5867,57
814,58
1056,58
1186,58
2596,59
4671,59
6064,59
700,60
4279,60
4699,60
2318,61
2702,61
4703,61
542,62
798,62
4476,62
1673,63
1884,63
4833,63
1733,64
3551,64
5568,64
2449,65
4887,65
4940,65
959,66
1149,66
3476,66
474,67
2597,67
4368,67
2131,68
3339,68
3572,68
2228,69
2789,69
4873,69
87,70
2414,70
4732,70
2970,71
3134,71
3286,71
3740,72
4083,72
5498,72
1986,73
2660,73
2970,73
1275,74
4479,74
5972,74
3584,75
4513,75
5874,75
1173,76
2030,76
5071,76
939,77
1676,77
4258,77
141,78
896,78
1102,78
2789,79
3396,79
5398,79
2702,80
4144,80
5959,80
1056,81
2259,81
4316,81
1489,82
2751,82
2970,82
271,83
4829,83
5550,83
2654,84
3004,84
5025,84
1016,85
1090,85
4873,85
490,86
5214,86
6160,86
725,87
2777,87
5175,87
2350,88
5061,88
6160,88
2798,89
4316,89
5572,89
3467,90
4473,90
5858,90
2640,91
4974,91
6229,91
1507,92
3046,92
3547,92
271,93
4265,93
4767,93
616,94
2018,94
5309,94
3004,95
5025,95
5309,95
1034,96
3424,96
5230,96
337,97
5246,97
5407,97
2030,98
3100,98
3411,98
187,99
634,99
5679,99
889,100
2813,100
3259,100
1030,101
2245,101
5309,101
3009,102
3237,102
3942,102
1021,103
3100,103
5771,103
18,104
1270,104
1294,104
2411,105
2863,105
5288,105
1268,106
4230,106
5825,106
1667,107
4730,107
5867,107
3088,108
5361,108
6073,108
249,109
1223,109
2087,109
882,110
4043,110
4431,110
697,111
1565,111
